,id,label,n_tweets,n_mentions,country
886,3724,carljamesanonv3,3,0, USA
887,3734,urcmich,4,0, USA
889,3737,dshank92,3,0, USA
891,3749,pxristhexries,1,0, UK
892,3757,jjackiebolton,1,0, USA
893,3767,alexharris,3,0, Isle of Man
894,3782,eljack204,2,0, UK
895,3783,conchis208,4,0, USA
896,3785,bookishgrrrl,1,0, Canada
897,3801,natquatermass,2,0,United Kingdom
898,3804,thatboy_k,2,0, USA
899,3829,motorious_dl,1,0, USA
900,3831,nomnomboris,2,1, USA
901,3842,joseboisgontier,1,0, Spain
902,3844,ff_lu12,1,0,Ecuador
903,3845,tbhsolee,2,0, USA
904,3852,pinkyjuliantina,1,0, Mexico
905,3860,doctortushar123,3,0,Philippines
907,3876,itsaboutlou,2,0, Italy
908,3881,giullilaneri,1,0,Paraguay
909,3898,findsitems,1,0, USA
910,3914,reckonalabama,1,0, USA
911,3920,ypena023,1,0, USA
912,3934,grammancino,3,0, USA
915,3937,hauntedoll,1,0, USA
916,3938,brandypublish,1,0, USA
917,3941,sunnymday,3,0, USA
918,3945,fredkarger,2,1, USA
919,3951,angelicasosal,1,0, Paraguay
920,3953,aarmstrong_84,1,0, Mexico
921,3956,intellwatch,1,0,United States
922,3960,ehocstl,1,0, USA
923,3973,hansoconner1,2,0, UK
924,3979,stellashaw,1,0, USA
925,3988,deus_ith,3,0,Mexico
926,3999,gayblogbr,1,0,Brazil
927,4006,miguelangelrech,1,0, Spain
928,4007,tho_scarp,1,0, France
929,4010,maxmoziely,1,0, USA
930,4011,blendtw,0,1, USA
931,4012,clubghactual,1,0, Spain
932,4016,tomiposts,2,0, UK
933,4020,spiritdance33,0,3, USA
935,4021,dquack,1,0, USA
936,4025,joannanesbit,3,0, USA
937,4031,sir_nele,1,0, South Africa
938,4033,penkert_david,1,0,Europe
939,4040,rockdoves,1,0, USA
940,4042,jonathonmthomas,4,0, Canada
941,4043,theedpodcast,1,2,Canada
942,4047,yalinidream,2,0, USA
943,4051,mikemead86,1,0, UK
944,4053,bkoerth,2,0, USA
945,4055,hedonish,4,0,United States
946,4058,raqueelexposit1,1,0, Spain
947,4059,theromantic,1,0, Canada
948,4060,theffox,1,0,Europe
949,4063,rodocabre,1,0, Paraguay
950,4066,plainjamie_,1,0, USA
951,4088,thebgguide,1,0,United States
952,4102,surgeapp,2,0, USA
953,4112,bunnymua1,1,0,France
954,4116,yareyarechacho,2,0, Spain
955,4119,highlandgirl,2,0, UK
956,4121,noasbobs,4,0, Canada
957,4163,halemec1,1,0,United States
958,4164,mrjesusm,1,0, Spain
959,4170,nycgov,0,34, USA
960,4177,mandybaggot,2,0, UK
961,4178,emily4eo,1,0, USA
962,4180,rcrowncenter,3,0, USA
963,4194,frail_james,1,0, UK
964,4198,bialgb,1,0, Canada
965,4204,miracleguppy,1,0, USA
966,4208,lexzer,2,0, Mexico
967,4211,pplengpina,1,0, USA
968,4219,anitabgomez,1,0, Spain
969,4223,deivid_cn,1,0,Spain
970,4224,sticknumber9,2,0, Kenya
971,4230,slut307,3,3,United States
974,4232,jewelpaws,1,0, South Korea
975,4245,crone_fetus,3,0, USA
976,4246,caldarola_doc,1,0, Switzerland
977,4255,fionaainamurphy,2,0, USA
979,4259,etrashima,1,0,Poland
980,4263,aprilww,1,0, USA
981,4270,morocha_silvero,1,0, Spain
982,4272,mkedems,2,0, USA
983,4274,frankjcr07,3,0, USA
984,4278,frostrai215,2,0, USA
986,4279,nevinnaholka,1,0,Czechia
987,4297,ljhickey24,1,0, USA
988,4298,anniewood,1,0, USA
989,4300,peppe_p_94,1,0, Italy
