,from, to, weight, directed
1089,1337,1339,1,True
1090,1340,1341,1,True
1091,1342,1043,1,True
1092,1342,1044,1,True
1093,1343,977,1,True
1094,1344,1345,1,True
1095,1346,1347,1,True
1096,1348,611,1,True
1097,1349,21,1,True
1098,1350,1351,1,True
1099,1350,1352,1,True
1100,1350,1353,1,True
1101,1350,1354,1,True
1102,1355,1356,1,True
1103,1357,977,1,True
1104,1358,1359,1,True
1105,1358,1360,1,True
1106,1361,1002,1,True
1107,1362,1363,1,True
1108,1364,1345,1,True
1109,1365,94,1,True
1110,1365,95,1,True
1111,1366,1367,1,True
1112,1283,1368,1,True
1113,1369,1367,1,True
1114,1370,1371,1,True
1115,1370,1372,1,True
1116,1373,637,1,True
1117,1373,638,1,True
1118,1374,1375,1,True
1119,1376,1377,1,True
1120,1376,1378,1,True
1121,1379,1380,1,True
1122,1379,1345,1,True
1123,1381,374,1,True
1124,1382,1383,1,True
1125,1384,1385,1,True
1126,1386,611,1,True
1127,1387,1043,1,True
1128,1387,1044,1,True
1129,1388,1002,1,True
1130,601,1389,3,True
1131,1390,1263,1,True
1132,1390,1142,1,True
1133,1391,1392,1,True
1134,1391,1393,1,True
1135,1394,1336,1,True
1136,1005,1043,1,True
1137,1005,1044,1,True
1138,1395,1396,1,True
1139,1397,1043,1,True
1140,1397,1044,1,True
1141,1398,1399,1,True
1142,1400,1263,1,True
1143,1400,1142,1,True
1144,1401,1402,1,True
1145,1403,1089,1,True
1146,1404,1405,1,True
1147,1406,1407,1,True
1148,1408,1409,1,True
1149,1410,1411,1,True
1150,1412,1413,1,True
1151,1414,1415,1,True
1152,1414,1416,1,True
1153,1417,956,1,True
1154,1418,1419,1,True
1155,1418,1420,1,True
1156,1418,1421,1,True
1157,1422,1423,1,True
1158,1424,977,1,True
1159,1425,597,1,True
1160,1426,964,1,True
1161,1427,1375,1,True
1162,1428,1428,1,True
1163,1429,1430,1,True
1164,1431,1432,1,True
1165,1433,746,1,True
1166,1434,246,1,True
1167,1435,94,1,True
1168,1435,95,1,True
1169,935,935,1,True
1170,1436,964,1,True
1171,1437,935,1,True
1172,1438,935,1,True
1173,1439,316,1,True
1174,1439,790,1,True
1175,1439,718,1,True
1176,1440,1441,1,True
1177,1442,1443,1,True
1178,1444,1428,1,True
1179,1142,1445,1,True
1180,1446,1447,1,True
1181,1448,1289,1,True
1182,1449,1450,1,True
1183,1451,935,1,True
1184,1452,1408,1,True
1185,1452,1409,1,True
1186,1453,1454,1,True
1187,1453,1455,1,True
1188,1456,1262,1,True
1189,1457,877,1,True
1190,1458,1459,1,True
1191,1460,1,1,True
1192,1461,1219,1,True
1193,1462,1219,1,True
1194,1463,1464,1,True
1195,1465,1465,1,True
1196,1466,1467,1,True
1197,1468,1469,1,True
1198,1470,1284,1,True
1199,1470,1285,1,True
1200,1470,1286,1,True
1201,1470,1287,1,True
1202,1471,1472,1,True
1203,1473,630,1,True
1204,1474,1475,1,True
1205,1476,597,1,True
1206,1477,611,1,True
1207,1478,1479,1,True
1208,1478,1480,1,True
1209,1481,1482,1,True
1210,1483,1484,1,True
1211,1485,1486,1,True
1212,1485,1142,1,True
1213,1487,1488,1,True
1214,1489,945,1,True
1215,1490,1491,1,True
1216,1492,696,1,True
1217,1493,1494,1,True
1218,1495,1496,1,True
1219,1497,1443,1,True
1220,1498,1499,1,True
1221,1498,1500,1,True
1222,1498,1501,1,True
1223,1498,1502,1,True
1224,1503,1503,1,True
1225,1504,1505,1,True
1226,1506,1507,2,True
1227,1508,1225,1,True
1228,1509,1510,1,True
1229,1511,1219,1,True
1230,1512,935,1,True
1231,1512,936,1,True
1232,1513,1514,1,True
1233,1515,1516,1,True
1234,1517,21,1,True
1235,1518,1519,1,True
1236,1520,489,1,True
1237,1521,1522,1,True
1238,1523,1498,1,True
1239,1523,1499,1,True
1240,1523,1500,1,True
1241,1523,1501,1,True
1242,1523,1502,1,True
1243,1524,1488,1,True
1244,1525,1526,1,True
1245,1527,1528,1,True
1246,1527,1529,1,True
1247,454,453,1,True
1248,454,454,1,True
1249,1530,1526,1,True
1250,1531,1532,1,True
1251,1533,1534,1,True
1252,1533,1535,1,True
1253,1533,1536,1,True
1254,1533,1537,1,True
1255,1538,1534,1,True
1256,1538,1535,1,True
1257,1538,1536,1,True
1258,1538,1537,1,True
1259,1539,1534,1,True
1260,1539,1535,1,True
1261,1539,1536,1,True
1262,1539,1537,1,True
1263,1540,1219,1,True
1264,1541,1542,2,True
1265,1543,1265,1,True
1266,1544,1545,1,True
1267,1544,1546,1,True
1268,1547,1534,1,True
1269,1547,1535,1,True
1270,1547,1536,1,True
1271,1547,1537,1,True
1272,1548,1534,1,True
1273,1548,1535,1,True
1274,1548,1536,1,True
1275,1548,1537,1,True
1276,1549,1534,1,True
1277,1549,1535,1,True
1278,1549,1536,1,True
1279,1549,1537,1,True
